question_text,target
"As a psycopath, what are your views on the issues surrounding school shootings and gun control?",0
How much time is enough for CAT preparation?,0
Is learning coding essential to build a website for free?,0
Which Rolling Stones songs feature Mick Taylor's best guitar solos?,0
"Have any transgender women ever begun hr t and see the breast development and fat redistribution as expected, and then for some reason have T levels come back with a vengeance? (I'm told that the spiro is at maximum dosage)",0
What are the differences between commerce and production?,0
How many distinct patterns are possible if each side of a cube has a diagonal drawn across it and if one counts as one pattern any patterns that can be made to coincide by various rotations of the cube as one rigid object?,0
What are the biggest blunders done by any politician in India?,0
Why was Mao such a genocidal maniac?,0
"As a resident of San Francisco, what justifies its exorbitant cost of living to you?",0
"Should dogs eat celery, why or why not?",0
What did Christ say concerning the study of the Scriptures?,0
How does the CEO of Goldman Sachs make so much money?,0
How can I study heart murmur during my MBBS?,0
Are there any streets which have become covered over but still partially open over time like a corridor?,0
Is it true that nowadays a man's worth is decided by peers based on whether he has successfully found a woman's love in life?,0
How do I remove unofficial Facebook business page?,0
"In my phone (Lyf LS 5002) headset is plugged in, how can unplug it?",0
What are common punishments for minor infractions in militaries?,0
How do I use my brain properly and understand the things in a right way?,0
Should I join Ph.D. in IIT Kanpur or TCS research lab with a 10 lakh package?,0
Why am I constantly questioning my own mortality?,0
How much is $5k?,0
Can there be transgender females in a male prison?,0
What will be the prices of petroleum product after GST in India?,0
"School of Spanish (New Delhi) offers 100% placement, does students really get placement after the course?",0
How fast do high school relationships move?,0
Is there any scope of digital marketing startups in India?,0
What are design critiques like at Apple?,0
Who is Eryka Washington?,0
What does Gordon Miller think would be a high goal for a mentally ill felon?,0
What are the advantages of empathy?,0
What is your favorite travel spot?,0
Does the Bible mention elohim?,0
Is a bottle of water that was left in the freezer for a couple of months safe to thaw out and drink?,0
How does Spiceworks make money?,0
"Where can I find the missing answers to the problems in the book The Cartoon Guide to Algebra, by Larry Gonick? The book gives only an incomplete list of answers to select problems and some are even wrong.",0
Can anyone name a good book about the Special Liaison Units (SLU's) which distributed Enigma decrypts during WW2?,0
"If light travels in a straight line, then why are there no gaps in my line of vision of the source when I move even slightly left, right, up or down?",0
Which model of Mercedes series gives more mileage?,0
"Today is Pi day, the day that Ivy Leagues send out their RD acceptances. What were your results?",0
Who loves Marvel?,0
I am trying to reduce weight. Can I add honey in my diet?,0
What's the differnce between day trip allowance and transport allowance?,0
From where can I Android widget development?,0
Was the Swat Valley historically part of Kashmir or Dardistan region?,0
Who gets the news first when it comes to the stock market?,0
Where do I find some good networking places or events in Bangalore?,0
How do I enable carrier billing with Verizon?,0
How does hurricane Harvey and Allison (2001) compare?,0
What will the expected cutoff to get admission in IITB through Gate 2018?,0
Should I join crash course after my class 12 board exam for JEE or revise at my home?,0
What are the simple things that make you happy and contented?,0
Football: Has any player been bid for in a football pitch when the game was on and has the bid been accepted?,0
Are brown people half black and half white?,0
America must build statues against slavery and racism?,0
How do I get rid of fat between your legs?,0
How I will get sponsorship of any merchant ship. I am doing course of bsc nautical science?,0
Why is Python more popular for machine learning than other programming languages like R?,0
How do you eliminate a gag reflex?,0
Why is a shooting star good luck?,0
What are the biggest difficulties faced by Indian students abroad?,0
When can I wear a girdle after a C-section?,0
What is the estimated time to hike a 350 meter hiking trip for a 10 year old?,0
What is Highlights of the HIPAA Privacy Rule?,0
"Which is better for AI/ML masters and job prospects? TU Eindhoven, Delft, University of Amsterdam, Copenhagen or KTH? Is it possibile to work half-time during masters?",0
How do I register my driver leagly in India?,0
Do you know about femdom?,0
Can you experience both manic and depressive symptoms at the same time with bipolar disorder?,0
Why can't I as an individual access the internet? Why do I have to go through a company?,0
What is a diasporic identity?,0
Can I know how much time pupil of eye takes to change its size if light is suddenly focused?,0
Who would you pick to play a young Palpatine?,0
What haunted estate is cast of scared famous using?,0
Why does Vegeta look scarier to the resistance than Goku Black?,0
If a group of people spat on you should you fight them out of principle despite knowing you will lose?,0
How many telemarketing calls does the average business get in a day?,0
Why can't we stop the porn business?,0
Why do I want to put slime in my mouth?,0
What is Jamia hamdard's cutoff points for b tech CSE course?,0
How can social problems and evils be controlled?,0
Is the USA becoming the world's new tax haven?,0
Which career aptitude assessment service should I use?,0
What is the largest possible product of two prime numbers whose sum is 100?,0
What state or country doesn't have a lot of earthquakes?,0
"If you could go back in history, which era would you want to go back to & why?",0
What kind of keyboard is recommended for higher grades trinity? I prefer a keyboard with 88 keys.,0
"Is using the word ""knack"" in a sentence outdated?",0
What are the best things about Melbourne for a 19 year old student?,0
What is the average stipend received by Post doctorate students at Cambridge University?,0
Which is the best book that describes witches?,0
Are Salars wanting independence from China?,0
What are the waste products in anaerobic respiration in plants and animals?,0
What are the directions to prove Riemann hypothesis?,0
Where is the coaching center for CLAT?,0
How do I talk openly with girls and boys around?,0
Is the valency of phosphorus 5 or 3 or both?,0
Which Igneous rocks have crystals?,0
What does “clear conscience” mean?,0
Who can kick farther; football kickers or soccer players?,0
How do conservative voters reconcile their love of Trump and blind hatred of people they don’t know with different political views with religious teachings not to worship false idols and judging not and living thy neighbor?,0
What are some potential government use cases regarding blockchain technology?,0
What causes thoracic outlet syndrome?,0
Is it better to join a company (Wipro) at 3.5PA or should prepare for gate only after final year b-tech CSE as I got rank 3605 in first attempt?,0
Can Messi be the ballondor best player although he loss champions league?,0
How much PSI is needed to pump water vertically 105 floors to fight a fire?,0
When was the last time you fully paid attention to the present moment and enjoyed it?,0
What are some ways to inject fun back into your marriage?,0
"If a police officer witnesses a person lightly tapping/hitting a stranger (no marks and clearly no pain), could the offender still be arrested for battery?",0
How do airports identify potential groups of terrorists?,0
How will people remember you?,0
What is the cause of rich fuel mixture?,0
Why do you get stomach pains every time you eat?,0
Where do pieces of data from large datasets usually come from?,0
What is the score of AIIMS 2018 topper?,0
Will you apply for a job if you are not qualified?,0
What is the NetLogon service in Windows 7?,0
How do I pick hashtags?,0
How long does it take for a check to clear at Chase Bank?,0
What does a wolf taste like?,0
How much would it cost to not have any advertisements on a TV show for a day?,0
How do I turn on/off DirecTV subtitles?,0
Where can I learn Romanian for free.?,0
Is Apple a good company for software engineers?,0
"Why would a ""Muslim Ban"" be any more effective than a ""Gun Ban""? It would seem the former is thought of as a good way to deal with one ""problem"", but the latter is unacceptable to many who would agree to this solution for the former.",0
What are all the branches of the air force and what do they do?,0
Where can I find the list of rwa societies in Gurgaon?,0
Can we read CA after taking MEC in 12 standard?,0
Why is Russia classed as an enemy?,0
Which Quoran do you think to be very different than you thought to be earlier after meeting?,0
Is Maharashtra government textbook is enough for the preparation for JEE maths?,0
What are some things you are proud of yourself for?,0
What is the best and safest site to buy Ethereum and Ripples?,0
Is swimming a good exercise or running for weight loss?,0
AMIE degree is useful or not?,0
What is a comprehensive guide to developing an on-demand app?,0
If you love a girl do you want to tell her you like her?,0
Is the software engineering a part of polytechnic?,0
"As an male engineer, How to impress female doctor?",0
Which are the best government dentistry colleges in Delhi NCR?,0
What should or shouldn't be expected from a graduate school?,0
What is the average KDR in any given multiplayer FPS game (accounting suicides or environmental)?,0
Who owns the best kept DeLorean car?,0
What are corrosive acids used for?,0
"In what ways can the Toshiba black 15.6"" Satellite C655-S5512 laptop be improved?",0
How do I trace my T.I.N. number?,0
How can you identify the most predominant themes in Basil Willey's published works?,0
Can a candidate who mistakenly appliyed as general in UPSC claim reservation benefits after the results?,0
How are my blogs on Hinduism?,0
Will all the students get bonus marks if at least one student challenges in Mains 2017?,0
Are the Berbers actually Arabs?,0
Will the U.S ever return to a policy of armed neutrality?,0
Where should I start in writing a short story?,0
"What are the best budget hotels and hostels in Udaipur, Rajasthan, India?",0
Will there be a rebirth of rock music?,0
"What are your thoughts about WikiTribune, the community/journalist powered platform to fight fake news?",0
"Is milk necessary for human? As we all know, animal only need milk during its infant phase, and no longer rely on milk as part of diet, then why human need to consume milk consistently?",0
What would a candle flame look like in lunar gravity?,0
What is the use of complex analysis? How and why does it take birth? What is it to understand physically?,0
What are some famous celebrities that were born in Indiana?,0
What are the signs a girl likes a guy at the gym?,0
How far do you agree that everyone has a part to play in tackling global issues?,0
What are some of the common reasons an odometer breaks on its own?,0
"What happened between Lisa Williams and Sharoo from the film ""Lion""?",0
How much can I earn in MBA?,0
Why are Wheat Thins honey mustard so good?,0
How is life at IIIT Guwahati?,0
Is it true that all the development programs in India ends with budget and procurement and inefficient development of the society?,0
Could someone explain fake Aegon?,0
How can I be happy by myself?,0
How can we overcome physical barriers in an organisation?,0
Would Colombia benefit from legalizing coca?,0
What're some great things to do in Moscow? How'd you spend 5 days in the city?,0
What is Babylonian Mathematics?,0
What influenced Ray Lavender to become an artist?,0
What is the GDP of Dubai per capita 2017?,0
What happen to your skin when it comes in contact with battery acid?,0
What is an effective way to help me learn Python/Django to build my own app?,0
How do you kindly tell someone to move on from a bad choice?,0
Are there any good webmail clients for Angular 2/4/5?,0
Happiness doesn't seem to be reliably correlated with anything I can put my finger on. Has this been anyone else's experience?,0
Why should I not stop writing on Quora?,0
How do I sell my e-commerce site?,0
Can I do a counselling job without having any degree but having good communication skills and patience to understand a person?,0
What is a good gaming PC setup?,0
What should I tell myself to get out of bed?,0
What does it take to have good conversation skills?,0
What is yoked control design used for?,0
Why India's left leaning media supports Pakistan and jihad?,0
Where is the line between patriotism and nationalism?,0
How can I get a job in Germany with poor German skills?,0
What is difference between mobile RAM and PC RAM?,0
I often find myself lying in order to avoid explaining things. Do you think that's okay?,0
Is there any scope in electrical engineering jobs in cannada and would be any salary growth and good pay in cannada?,0
What are the best font types to use when writing an Obituary?,0
"What is the bigger number if a given ratio is 4:7, and their difference is 39?",0
How do I get over an existential crisis?,0
What is the best passive income with around 30k capital in India?,0
Is the MD medicine course at Buckingham university mci recognised?,0
Has anyone ever kept a vulture as a pet?,0
Can somebody tell me the origin of the name 'Samaroo'?,0
Are the Japanese roughly the Germans of Asia?,0
I'm sad and I don't mind dying but I wouldn't kill myself. I live just because I have to. How do I turn this around?,0
Why do people not like working at AT&T?,0
"What do I do? I have a very tight and crazy work schedule, but I love it, my fiancee says to resign from work once we get married, and do something else less tedious, otherwise, we may never get married. I love him also!",0
Why has the Turkish Lira lost so much value?,0
How can we end racism once and for all?,0
What level of mathematics do you need to be a machine learning engineer or data scientist?,0
"Can I pay for flight with AirPoints, using Sky Scanner?",0
What are the causes of corruption in Nigeria?,0
Why do you think you became involved with a narcissiststo begin with? Was it an unmet need in you personally,0
"If someone has suffered through a heart attack and a coma, would surgeons/doctors not want them to go through any surgeries until they are fully recovered?",0
What are the roots of equation 3x²-6x+2?,0
How does SDD work in Advanced design system) ADS)?,0
What I am doing against urinary tract infection?,0
Why is there such a massive social stigma about single peeps?,0
Has narcissism touched your life in any way?,0
Who will win in a fight: the Tenchi Muyo universe or the Tottemo Luckyman universe?,0
Do you want a child or not?,0
Can I get admission in IISER with 113 marks with general category?,0
Can President Trump sever all trade without congressional approval? Would he actually do this?,0
What function do proteins serve in the cell membrane?,0
Which armed force should I choose for NCC and what are the differences between them?,0
Why don't molecules take part in a chemical reaction?,0
"What is it that stands out about this day, April 13th to many Quorans?",0
Why do smokers think it's acceptable to throw their cigarette butts on the ground as if it wasn't littering?,0
Is the Bible inerrant and infallible?,0
How do I stop hating my stay-at-home mother?,0
Where could I learn about web hosting? And how can we create our own email addresses?,0
How do I not fall in love with someone whose image keeps lingering in my head?,0
What are some good books on raising bilingual/multilingual children?,0
How do I print directly from chat without sending to mail?,0
Where can I find out more about the diversityvc organization in the UK?,0
"Do you wish to immigrate to some other country? If yes, why?",0
What is it like having a Russian wife/girlfriend?,0
"If America were to collapse and disappear tomorrow, how would it be remembered? What kind of legacy would America leave behind?",0
Should I sacrifice my self respect for friendship?,0
How do you respond to people trying to undermine you in the workplace?,0
Can I file a case againt Staff Selection Comission for mental trauma? I have been preparing for SSC-CGL examination for 2 years but I along with other have been denied from taking the examination at KNP college Bhopal.,0
How do pathologists stand the smell during an autopsy?,0
What is the future of after doing PhD in chemical biology?,0
How can I see if the person I just added Facebook messgner is active?,0
Can one collect s.s. if one has not paid in 10 years?,0
What is the name of the king who fought king Ashoka in the Kaling war?,0
Why CBSE schools don't use NCERT books?,0
What is the difference between Orchid and Star Rating Hotel?,0
What is PN10 pipe?,0
What should I do when people misunderstand and stop talking to me?,0
If have loan unpaid in UAE can I travel to other GCC country?,0
How big is the net in women's volleyball?,0
Why does staples always change the stock of cross pens?,0
What is my ex expecting from me?,0
How long ago was 1810 BCE?,0
What are the Democrates putting forward to improve the availability of good jobs?,0
What are some good civil engineering softwares to study after graduation which has good scope?,0
How is the life of an orthopaedic surgeon compared to other specialities?,0
Is it wise to take a new Lamborghini Huracan on a road trip from San Francisco to Los Angeles then Las Vegas and finally back to San Francisco?,0
"If you are Donald Trump, how would you bring down your competitor China?",0
What would have happend if 9/11 happend under Donald Trump?,0
What can K-12 educators take from game design?,0
What are the theories of public policy?,0
What is the scope of B.A. Journalism in India?,0
How can I make a music project for a science fair?,0
How is the life of a CS undergraduate in IIT Guwahati?,0
Is Trump proving the notion that government leadership at the highest levels is inherently different than private industry?,0
US: Why can I determine future for the country (vote) but not order a beer?,0
Can a website track if two people from the same IP address are on it?,0
Does every school have security cameras?,0
"Is it possible to get data on E-Commerce statistics in Asia? For example, how much of them are operating in Certain countries, For example, Singapore, Indonesia, Hong Kong?",0
What credentials does an alternative health therapist require?,0
What do I need to do to learn Spanish?,0
"How should I handle mixed messages from a male crush? ""Should I give up or should I just keep chasing pavements?""",0
"If you can be anywhere in the world right now, where would you be and why? It can be an imaginary place or an actual place.",0
What is value of 1/√3?,0
Has there been any hard proof that magicians like Dynamo use video cuts to produce some of their illusions?,0
"Is my understanding of a ""pseudoinverse"" correct: it's a way to find an ""inverse"" of sorts for a non-invertible matrix, by using a right inverse or left inverse, depending on whether the column space or row space is full rank?",0
Is it possible for a person to be paid for posting links on a message board?,0
What is the best online casino game to profit from in 2018?,0
I have versatile web projects with security flaws. Should I launch them to website?,0
Who is the worst female lead on an Indian TV show?,0
What is the name of medicine for long time sex?,0
What are the chemical properties of Merle Norman Cleansing Cream?,0
Can 14 years kid join the class?,0
Who owns the cinematic rights to Sentry (of Marvel)?,0
How u rank govt medical colleges of Rajasthan?,0
Are the Cavaliers done without Kevin Love?,0
What is your best thumbnail maker for YouTube to make click-bait thumbnails?,0
Where can I safely test Cookies injection?,0
Why is Africa behind on development?,0
How can I get a legal job in Canada with my LLB degree from India?,0
Are book keeping jobs in danger of being outsourced to other countries like India? I can get a book keeping certification for a nominal fee through a local non-profit agency. I just don’t want to devote the time to it if there will not be any jobs.,0
How can I clean a Remington 710 .270 Winchester rifle?,0
What is the mashroom?,0
Does it cost money to have a stock broker buy stocks for you?,0
Do you know people who moved from Europe to the United States permanently and definitively?,0
What is the secret to good communication in a relationship?,0
How valid is the probabilistic argument that claims to predict the future lifetime of the human race given only an estimate of the total number of humans born so far?,0
What is the best thing to do to kick away bad memories?,0
What can I do to reduce my urge to eat even when I'm not hungry?,0
What are the criticisms against the views of Cheguvera?,0
Is reading resnik Halliday useful for AIIMS?,0
Why are physicians expected not to make errors?,0
How should I prepare for COMEDK 2017?,0
What is the need for controlling population?,0
How do I become a VTU topper?,0
What does it mean when someone says ”I don’t wanna be your friend”?,0
"My friend works at a gym and is being sexually harrassed by two specific members. Her boss won’t do anything, and her coworkers tell her that’s, “just how those guys are.” Should she quit, or is there another course of action?",0
How many years can someone live with active extrapulmonary tb?,0
"Do you use Whale app? If so, who do you follow?",0
What is a normal dip slip fault?,0
Which are the best Android games to test your creativity?,0
How can I to study plus 2 chemistry within one and half day to score a plus?,0
Do maggots eat plastic?,0
Are there any neglected animals that could be fun to have other than cats and dogs yet tolerate hot weather?,0
Which is the best coaching institute for SSC in Jaipur?,0
Why do guns like this have another hole? Is it another cannon?,0
"In mathematics, are there ever any circumstances in which natural numbers (1, 2, 3 ad infinitum) are not constants. E.i., 1 will be 1 forever, etc.?",0
What is Medium and why are Quorans joining it?,0
Could Bruce Lee with nunchucks beat Brock Lesnar with knuckle dusters?,0
What can I do in order to stop being competitive?,0
How can I make a boy mad?,0
What is the difference between PVC and lead free PVC?,0
What is the IUPAC name of butric acid?,0
When did you decide you are going to be an astronaut? When is it too late?,0
"What's the difference beetwen the EU, legends? What is Canon, now that Disney is involved? For instance in the prequels Jedi marry and are also female",0
What are some unexpected symptoms of fibromyalgia?,0
Can childhood sexual assault cause narcissism?,0
What are some good reasons to convince a friend to get Quora?,0
Why is India doing state terrorism in Kashmir?,0
"Can my wife account in which my name is also joined as second operator can be used to deposit my salary via ECS mode? If no, why & under which rule?",0
Can you give me an example of when ethicality and morality collide?,0
How good is the homeopathy treatment for reproductory disorders of younger people?,0
What should be the steps taken to preserve the public property?,0
How many phones have you broken or lost?,0
Who/what are some good dance teachers/schools in the UK?,0
How much salary for cma us in India with 0 year experience?,0
"Is eating a food containing sodium, calcium, potassium, magnesium similar to and/or better than drinking a sports drink with electrolytes?",0
How powerful lightning bolt?,0
What makes a real man to you?,0
How do I get the optical illusion (with 16 circles hidden among squares) to show on my computer screen?,0
What will help me not wake up during the night before the exam?,0
Which is better to visit between Lakshadweep and Maldives?,0
What's the remainder when 2016^2017 is divided by 35?,0
In how much time a woman can achieve orgasm by clitoral stimulation?,0
How are the placements in the branches Computer Science and Communication and Computer Science and System Engineeeing at the KIIT University?,0
What can be written as introduction in SUPW project?,0
How can I get a job in rural development with a B.Tech in CSE?,0
What can I eat before workouts to get energy?,0
Demonetization was not the only way out then why was it done?,0
Why is the YouTube app not working on my iPhone?,0
What are the trending fields in engineering?,0
Will there ever be another female pop star as big as Katy Perry?,0
Where can I get MRI scans of a honeybee brain?,0
Why do people use shoe glue when attaching the net to the clothes when making a ghillie suit? Why don't they sow it on instead?,0
If there are any sectional cut off in SSC chsl 2017 to 2018?,0
How do you apply the 5 love languages in your relationship?,0
What is the admission criteria for admission to MS Ramaiah Institute of Technology under management quota?,0
Are there any hidden clauses in VIT attendance exemption criterias for 9 pointers?,0
What can I do after completion of mechatronics?,0
Is it true that Vietnamese students are trained to use a gun in school?,0
How does a Math Major get marketable skills for internships?,0
Can jet li defeat Bruce Lee?,0
Why is cannabis in Schedule I?,0
Can anyone write a portfolio for a food snack product?,0
Why does Saudi Arabia promote democracy in Syria but not in its own state?,0
What is robot psychology if one were to exist?,0
What should I get as my next luxury all-weather (AWD/FWD) commuter vehicle? (I don’t have a charge port for electric),0
How big was the largest Halloween Pumpkin in recorded history?,0
What geometrical law/theory is this: a point satisfies an equation if and only if it is on the line?,0
"Hi! I just passed my 12th with a descent percentage of 92.6, can I apply for D.U?",0
What's IMS MS in Infosys?,0
What is UNG?,0
How do martial artists cope with getting hit in the testicles?,0
Why are there waiting lists for housing?,0
What is happening with the equatorial quakes and volcanic upheavals?,0
Is it necessary to have Hindi as a subject in class 10 or 12 for getting a government job?,0
Could there ever be a baseball player like Sidd Finch?,0
What if introvert has extrovert family?,0
How does your sales and marketing team follow up with trade show leads?,0
Could the artist who invented camouflage be hiding in plain sight?,0
What would happen if there is no life in the world?,0
What are the best student organizations to join at the University of Oklahoma? Why should students join them?,0
Is it bad management to have a data scientist with an advanced degree to be doing analytics and reporting?,0
What are the mechanical properties of CRCA material?,0
What should the welcome speech of a farwell be like? Do I just welcome the people or is it supposed to be closer to an actual speech (where you try to inspire them and stuff)?,0
"In Barron's practice test, myscore in reading & listening is 25 & 26 each in 4 tests. Does that mean that I will score 105 only in TOEFL on final day?",0
What is the worst rap song you have ever heard?,0
"2017 Nsit CSE, DTU CSE, IIIT d CSE which is better?",0
Now I m in bsc nursing.. which course I should choose for psychiatrist?,0
What is function of iLividsetup.exe?,0
How Can I come to know where to use would and will?,0
Who are the best scholars to study from on each side of the historical Jesus debate?,0
Did President Trump do a good job of dealing with the aftermath of Hurricane Harvey? Could he improve his approach when dealing with Irma?,0
"What happened with CHIP funding? If didn’t get funded, what is happening to the healthcare for children who can’t afford it?",0
"WHY HAVE BEEN BOWLERS LIKE ISHANT, JERMIE TAYLOR, CHRIS MARTIN AND BATSMEN LIKE ROHIT, GUPTILL, SAMUELS PERSISTED in TESTS HAVING A MEDICORE RECORD?",0
Do animals have fun?,0
Do colleges send letters with my SSN on it? I forgot to update my mailing address in the college database and I receive financial aid.,0
Why do I always feel as though I owe someone something whenever they preform a favour for me?,0
Is it legal to download copyrighted music from YouTube and DJ in virtual world (like Second Life)?,0
How good would Bruce Wayne/Batman be at Yu-Gi-Oh? Why?,0
What is the symbol of a fixed resistor?,0
"If you have a bomb shelter, how do you make sure it has fresh air?",0
Is it hard to prepare for JEE while studying in first year at KIIT university?,0
To what extent are gay people relatively more presented as victims in the media today than they used to be?,0
Can a YouTuber regularly upload videos on his/her channel to suggest their subscribers to watch other's video? I mean I want to launch a channel which will help people find best and genuine video on YouTube for them on a particular topic.,0
What does a typical office worker in Belarus eat for lunch?,0
What are the most interesting startups in US?,0
Why are dermatologic manifestations common characteristics of myositis?,0
What are the technologies data engineer uses in Grab?,0
Why do people have to be popular to have a boyfriend?,0
How do I look up my social security number for free?,0
"In the U.S. construction industry, what are the eight-hour-a-day rental rates for excavators, like the Carter 320?",0
In the island hoping campaign moving toward Japan why couldn't have the US lessened casualties by bombarding islands like Iwo Jima then move on?,0
"What comes next in the series 1, 2, 3, 4, 4, 6, 7, 8, 9, 10, 16, 12, 13?",0
If Obamacare had not included individual mandates would there have been as much of a conservative uproar?,0
"Why is Cow Vigilantism, becoming rampant in India?",0
A moving bullet hits a solid target resting on frictional surface and gets embedded in it. What is conserved in this process?,0
How do I cleare CPT in 10 days?,0
What is the best way to choose best telemarketing company?,0
How is the VHT engine paint mass produced?,0
What are some lively music?,0
How did people behave at the global theatre?,0
What is the need for DNA to replicate during the process of reproduction?,0
What is the meaning of sollema?,0
What MBTI personality is hypothetically easier to manipulate? Why?,0
What is The meaning of eye cylinder number?,0
Which is the best advanced French and Italian language learning institute in Noida?,0
I am doing my bachelors in English language and literature in Bangladesh. Can I go abroad to do any postgraduate course?,0
How is hemodialysis done?,0
Where is the proposed LTI office in Hyderabad?,0
Can there be a reason or disability big enough to not get married?,0
How do I learn all about shares and investment? I'm a medical student and have no knowledge about it and would want to start investing in shares.,0
What are the prerequisites to start a custom design shop for motorcycles?,0
How will the results of analysis vary in Ansys if a different turbulence model is selected every time for the same model?,0
"Im bisexual, how do I find a boyfriend/girlfriend?",0
"What am I supposed to write in a statement when IELTS delayed my results due to ""internal quality control""? They do not provide any details behind my case despite numerous emails, but offer to make a hand-written statement ""to support my results""?",0
How does an electric generator produces electricity without a magnet?,0
When was sidechaining first introduced in electronic dance music (EDM)?,0
How can I share my location with Neteller?,0
"When Mr. Trump said President Xi and he liked each other, did anyone else hear the old Will Rogers saying transposed as ""I never met a man who didn't like me?""",0
What are the natural predators of Siamese fighting fishes?,0
Is it legal to drive the wrong way if a crash has occurred but police have given no information?,0
No matter how hard I try my girl's expectations are too high and our problems never solve. How can I fix this?,0
How can I get home based work without any reg. Fees?,0
Iam very weak in mathematics im a commerce background student I dnt basics of maths how we can improve basic maths? What are the sources?,0
Is there any hotel for unmarried couple in Hyderabad please mention name and area?,0
Should NYU move their sports to Division 1? Why or why not?,0
What is something you do during a job search that you have found gets you the most interviews?,0
How would you write a homicidal maniac for a protagonist in first person?,0
Islamabad is safe for Indian tennis players?,0
What are copywriting samples?,0
What is kidney crowdfunding?,0
Sometimes my head becomes numb when I sleep in a same position for some time. Is it normal?,0
Do you want to have more kids?,0
What is the strongest bulletproof armor you've encountered?,0
Why does my dog aggressively lick me? Should I let him aggressively?,0
What kind of products does Shark Tank ban?,0
What are some of the best modern Sufi songs?,0
"What does the term 'dashboard' mean as applied to data science, particularly customer data?",0
Would guys hesitate dating women who are intellectually smart and come across with larger than life personalities?,0
Why is the store Tim Hortons so famous to anyone not just Canadians?,0
How can the molecular formula of acetylsalicylic acid be determined?,0
Are there any shows similar to Death Note?,0
Can I mix mineral spirits in acrylic paint to make it thin?,0
What's the weirdest habit you have that no one else seems to have?,0
What is the internal resistance for 300v battery?,0
How do I make someone like me if they don’t already like me?,0
Can one cell with HPV inside cause cancer?,0
Why do I dream every single night and then wake up so exhausted?,0
What would the Christian god tell the Jews if he would talk?,0
"I have a pilot episode ready, im going to start approaching channels for it. What are the usual traps I need to avoid to have creative control over my show?",0
Can I enjoy BDSM and still be asexual?,0
What does he want? Last year he kissed me but pulled back. And now we are kinda dating but I don't want to ask.,0
Is atheism all about logic and critical thinking?,0
How the sarpanch will be elected?,0
What are some useful tips for someone who is starting work at Xoma?,0
In what ways can you minimize the negative advantages of social media?,0
How can I fix a bad attitude?,0
"I go to bed early at 9-10 pm and wake up early morning at around 4 am, how should my diet be scheduled and what should I have?",0
Can I use D4205D transistor in Tesla coil?,0
How the golden blood was discovered?,0
Is it possible to achieve my goal of getting a good rank in gate exam when am in a relationship and how plzz help?,0
What are your biggest challenges as a social media influencer?,0
What are the questions your boss would answer/ask if he/she was on Quora?,0
How have programming jobs changed with sites such as Quora or StackOverflow?,0
Did the Jackson five have an original name?,0
"Are phones/iPads really hazardous for health because of radioactivity (I'm planing to have an iPad), according to FCC, to be on market they have to have a SAR level less than 1.6 watts per kg?",0
"I am socially awkward with people other than my friends, how do I improve my socialising skills?",0
How do I attract more customers to my restaurant?,0
Where can I buy Blumaan products in India?,0
What is the meaning of Ajam?,0
What are the benefits of studying at the Dubai Modern High School?,0
How can I get rid of a white rat in my house?,0
How do verse I philipian 3:1-3 support in leadership?,0
Is Tony Stark or captain America true leader of Avengers?,0
What is Gopal Kavale Reddy's view on Deepak fertilizer & Petrochemical stock?,0
Where can I find UK version of House of Cards in India?,0
Are Indonesians unable to distinguish between Chinese as ethnicity and Chinese citizenship?,0
Is George Soros's theory of reflexivity very useful in reality?,0
What was most pleasant life experience in this world?,0
